#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
232,"Que Te Quería","La Quinta Estacion",143,8A,89,2026-06-24,03:49,68,"reggaetón","Sin Frenos",2009-00-00,51,3,0,53,0,10,-5,A Minor,4,4wDk9P2WSvHOsRW6SDYE7L,MXF010801020,no
233,"Y volar (con los Caligaris)","La Pegatina,Los Caligaris",165,11B,96,2026-06-24,03:09,58,"","Ahora o nunca",2018-04-06,67,28,0,79,10,0,-4,A Major,4,0vabIwEiZDGml2CyVmGNBX,ES5151800052,no
234,"Que Te Den","Amparanoia,La Pegatina",150,12B,97,2026-06-24,03:24,33,"art pop, pop, ","El Coro de Mi Gente",2017-03-27,58,3,0,67,10,30,-4,E Major,4,4sm9EIEYjJtj1Pr0Xms1Hk,ES5151700341,no
235,"Mari Carmen","La Pegatina",160,7A,85,2026-06-24,02:25,58,"","Un secreto a voces",2019-09-27,71,9,0,82,0,0,-6,D Minor,4,5mldsrMy7k0CzAF2QksvCL,ES7311100021,no
236,"La Madre de Jose","El Canto Del Loco",101,3B,94,2026-06-24,03:11,63,"flamenco, flamenco pop","Estados de Animo",2003-00-00,63,29,0,95,10,0,-3,C♯/D♭ Major,4,3l8Ennt1PqShViwh0tkWuc,ES5020300138,no
237,"Chiquilla","Seguridad Social",167,3A,88,2026-06-24,03:07,62,"","Que No Se Extinga La Llama!",1991-06-12,54,1,0,77,10,30,-4,A#/B♭ Minor,4,4eJikwHYHJ3yMg1tvS1Mom,ES5019150000,no
238,"Cuando Brille el Sol","La Guardia",170,9B,73,2026-06-24,03:44,56,"afro house, house latino, tribal house, house orgánico, afro tech, flamenco","Cuando Brille el Sol",1990-07-06,51,3,0,93,0,10,-11,G Major,4,3BNy8c9gYaL63nL5DKHFMU,ES5109000041,no
239,"Ojalá no te hubiera conocido nunca (feat. Muchachito Bombo Infierno)","No Me Pises Que Llevo Chanclas,Muchachito Bombo Infierno",148,8A,93,2026-06-24,04:02,47,"rock en español, flamenco, house latino, afro house","25 años de agropop",2017-03-17,32,0,0,60,10,90,-5,A Minor,4,3xsPBE62YoXqXdPZwF918R,ES5151700311,no
240,"La Rumba - Original","Claudia León,Aaron Sevilla,Nalaya",123,10B,92,2026-06-24,05:34,41,"afrobeat latino, rock clásico, rock, glam rock","La Rumba",2025-08-29,80,1,70,65,0,0,-5,D Major,4,22tPJAdP7FQBwZCysD7A3y,GXBNP2552134,no
241,"El Secreto de las Tortugas","Maldita Nerea",170,3B,76,2026-06-24,04:07,64,"europop, eurodance","Es un Secreto...No Se Lo Digas a Nadie",2009-05-07,58,1,0,71,0,30,-7,C♯/D♭ Major,4,1sMgCr1RH0HfAazVZt9xmZ,ES8580700093,no
242,"Tenía Tanto Que Darte","Nena Daconte",125,3B,60,2026-06-24,03:24,65,"","Retales De Carnaval",2008-01-01,64,5,0,49,0,40,-4,C♯/D♭ Major,4,3Th2of8xIYyImVLXUbzaTp,ES5700802725,no
243,"Marta, Sebas, Guille y los demás","Amaral",102,10B,85,2026-06-24,03:43,58,"trap latino, dembow, reggaetón, trap","Marta, Sebas, Guille y los demás",2005-09-23,60,27,0,66,0,10,-5,D Major,4,1K0f2jrJcWdaZztjXrIPmT,ES5080500025,no
244,"Cuando zarpa el amor","Camela",114,12A,91,2026-06-24,03:32,64,"house latino, tribal house, afro house, flamenco","Diez De Corazon",2004-11-22,77,9,0,70,0,0,-4,C♯/D♭ Minor,4,0GzQB5WXavUEU8tfTCAd8m,ES5080400083,no
245,"La casa por el tejado","Fito y Fitipaldis",150,6A,85,2026-06-24,04:27,69,"tribal house","Lo mas lejos a tu lado",2004-12-28,73,32,0,89,0,40,-6,G Minor,4,428cFrawSqeLoyooQjAW9d,ES5010300346,no
246,"Por la Raja de Tu Falda","Estopa",98,8A,72,2026-06-24,03:22,67,"","Estopa",1999-10-18,76,32,0,93,0,70,-10,A Minor,4,5OaqffbeQyVVqtnA71Ci7K,ES5029900140,no
247,"El Chipirón","Orquesta Poncela",192,10B,75,2026-06-24,02:35,44,"house latino, flamenco","Gossa!!! Gossa!!!! 3",2012-11-26,48,34,0,53,0,90,-9,D Major,4,47HLIxoxJC22Fu0auMnQAg,ES01G1201794,no
248,"Física o química","Despistaos",100,9B,90,2026-06-24,03:11,63,"pop suave","Lo que hemos vivido",2008-10-14,62,6,0,96,0,30,-4,G Major,4,79eUc9cUUoUOO1b5znphiU,ES5150800931,no
249,"Pa´ mi guerrera - Reprise","Huecco",105,11A,94,2026-06-24,04:20,49,"","Huecco",2006-03-14,71,9,0,75,10,0,-5,F#/G♭ Minor,4,7JO1bBzuVQ14rIR6T5D0UK,ES5150620000,no
250,"Quiero tener tu presencia","Seguridad Social",146,12B,82,2026-06-24,03:40,65,"","Furia Latina",1993-00-00,74,2,0,57,0,10,-6,E Major,4,3f2k0XTc2ZXG17jEMDu8pp,ES5019350011,no
251,"Volcans","Buhos",155,4B,87,2026-06-24,03:45,57,"flamenco, flamenco pop","La Gran Vida",2018-02-16,57,52,1,49,0,10,-6,G#/A♭ Major,4,6kp5vm0qtmsG6YTLaWcsoo,ES5951805832,no
252,"Nada que perder","Pignoise",154,9B,90,2026-06-24,03:17,63,"r&b","Anunciado en Television",2006-04-10,55,0,0,78,0,0,-2,G Major,4,0YSaKC66FGCWLxM9SoQA1f,ES7210611901,no
253,"Que la Detengan","David Civera",126,10B,77,2026-06-24,03:19,44,"","15 Aniversario",2016-11-18,75,1,0,67,0,10,-5,D Major,4,0YxU7V3kuCGwzuWCLiOXgF,ES80B1600034,no
254,"No Puedo Vivir Sin Ti","Los Ronaldos",128,8B,80,2026-06-24,04:14,68,"","4 Canciones",2007-03-19,59,41,0,59,0,10,-5,C Major,4,2LUP49H9wb6nw2Y5oQzUpZ,FR6V80702531,no
255,"Con la luna llena","Melendi",164,12B,86,2026-06-24,03:48,68,"","Sin Noticias De Holanda",2006-07-14,68,70,0,67,10,0,-7,E Major,4,5VwYcCKNAgDqDJ9ah9tDGl,ES5080600389,no
256,"Hablando en plata - 2003 Remastered Version","Melendi",150,9B,80,2026-06-24,03:05,61,"","Sin Noticias De Holanda",2006-07-14,59,19,0,68,0,30,-5,G Major,4,7gHXpZ9RfD5ym9GZWlo35F,ES5080600390,no
257,"Pa' Madrid","El Barrio",167,3B,94,2026-06-24,04:18,65,"timba","La Voz de Mi Silencio",2007-10-15,64,26,0,92,0,60,-3,C♯/D♭ Major,4,3prOrWojlVzltxgK1vZrq6,ES5160700786,no
258,"Con La Mano Levantá (feat. Estopa)","Macaco,Estopa",110,4B,69,2026-06-24,03:22,51,"","El Vecindario",2010-11-23,80,18,0,89,0,0,-5,G#/A♭ Major,4,1yDwcbcbTEOUoQUaPK0IbK,ESD011000144,no
259,"Salta","Seguridad Social",172,10A,99,2026-06-24,02:32,39,"","En La Boca Del Volcan",1997-06-12,61,13,0,84,10,20,-3,B Minor,4,3yVFfxcUqzckNhQ3ArC4ws,ES5019750012,no
260,"CAFé CON RON - Afro House Remix","KLAAN",126,6A,65,2026-06-24,03:16,54,"afro house","CAFé CON RON (Afro House Remix)",2026-05-15,77,6,0,46,0,10,-12,G Minor,4,7fhVoeXSomykOpTVgudKyR,FR52F2615501,no
261,"Lady Madrid","Pereza",115,8B,66,2026-06-24,03:11,62,"","Aviones",2009-08-25,60,36,0,38,0,0,-3,C Major,4,5NQw5WJwKRPaaSDHXD04Fs,ES5020900283,no
262,"Como Si Fueras a Morir Mañana","Leiva",144,5B,82,2026-06-24,04:00,67,"pop latino","Nuclear",2019-03-22,46,0,0,37,0,10,-7,D#/E♭ Major,4,4aAfLSx9IthpC3Pw5pNk3E,ES5021801187,no
263,"A Tu Vera","Aaron Sevilla,Javi Torres,Alba Dreid,Ruben Hernandez Trumpet",183,9A,82,2026-06-24,03:03,58,"flamenco, flamenco pop, música alternativa latina, house latino, afro house, tribal house","A Tu Vera Feat Ruben Hernandez Trumpet",2025-05-09,44,2,16,51,20,40,-4,E Minor,3,0K7YLOpJ0EEBfce8LdDRBu,DEBY72500252,no
264,"Ilusiones","Aaron Sevilla,Les Castizos,Oliver Gil,P.Rivas",123,10A,97,2026-06-24,01:28,57,"house latino, afro house, flamenco, ska, ska mexicano, rock en español, rock argentino, murga, cuarteto, ","Ilusiones",2025-10-03,71,9,0,10,0,20,-5,B Minor,4,3F9JXFrFmdugvU25P8bHBa,GXBNP2553830,no
265,"Complicated","Avril Lavigne",78,7B,78,2026-06-24,04:04,88,"house latino, flamenco, afro house, tribal house","Let Go",2002-06-04,59,6,0,43,0,30,-6,F Major,4,5xEM5hIgJ1jjgcEBfpkt2F,USAR10200223,no
266,"El Flamenco","MESTIZA,Aaron Sevilla",123,7B,87,2026-06-24,03:10,56,"flamenco pop, ","Quëreles",2023-12-08,81,11,24,82,0,0,-7,F Major,4,44d8fHA9cOLQ0LYjzj8DtH,ES5052300734,no
267,"La Saeta","Aaron Sevilla,Peppe Citarella,Oliver Gil,P.Rivas",123,10B,81,2026-06-24,06:12,55,"ska, ska mexicano, rock en español, rock argentino, murga, cuarteto, ","La Saeta",2026-03-06,85,0,15,22,0,0,-5,D Major,4,1DCVgwI2CZiCFNGq3f3KXD,GXBNP2680538,no
268,"Te Dejo Madrid","Shakira",131,1B,64,2026-06-24,03:07,33,"afro house, afro tech, house latino, tribal house","Laundry Service: Washed and Dried (Expanded Edition)",2021-11-12,74,2,0,93,0,30,-6,B Major,4,1w4a3Sy3d1ptWxIlE6S5bY,NLB630100366,no
269,"MI GITANA","Peppe Citarella,Aaron Sevilla,Ángel Rodríguez,Sergei Rez",123,3B,86,2026-06-24,03:15,53,"house latino, tribal house, afro house, ","MI GITANA",2026-01-30,69,1,5,11,0,0,-6,C♯/D♭ Major,4,6dWsHnTbyg9FSXTbkihl56,FR10S2622552,no
270,"Poker Face","Lady Gaga",119,12B,81,2026-06-24,03:57,87,"","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409,yes
271,"Bad Romance","Lady Gaga",119,8B,92,2026-06-24,04:54,89,"","The Fame Monster (Deluxe Edition)",2009-11-05,70,0,0,71,0,0,-4,C Major,4,0SiywuOBRcynK0uKGWdCnn,USUM70918596,yes
272,"Esta Cobardía","Aaron Sevilla,Oliver Gil,P.Rivas",124,1B,64,2026-06-24,03:30,52,"ska, ska mexicano, rock en español, rock argentino, murga, cuarteto, ","Esta Cobardía",2026-06-05,60,17,0,47,10,0,-6,B Major,4,6aBlqwwP7fwUMY8oJolzPk,GXBNP2683337,no
273,"Only Girl (In The World)","Rihanna",126,10A,71,2026-06-24,03:55,90,"reggae en español, música alternativa latina","Loud",2010-01-01,79,11,0,64,0,0,-4,B Minor,4,2ENexcMEMsYk0rVJigVD3i,USUM71023200,no
274,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER,Pitbull",120,6A,86,2026-06-24,03:40,88,"pop latino, timba","Raymond v Raymond (Expanded Edition)",2010-03-30,66,3,0,65,10,0,-3,G Minor,4,4356Typ82hUiFAynbLYbPn,USLF21000041,no
275,"On The Floor","Jennifer Lopez,Pitbull",130,2A,78,2026-06-24,04:44,93,"timba","Love?",2011-04-29,73,11,0,57,0,0,-5,D#/E♭ Minor,4,3C0nOe05EIt1390bVABLyN,USUM71104034,no
276,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2026-06-24,04:49,87,"r&b alternativo","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169,no
277,"Danza Kuduro","Don Omar,Lucenzo",89,8B,92,2026-06-24,03:18,88,"flamenco, flamenco urbano, flamenco pop, afro house, house latino, tribal house, house orgánico","Meet The Orphans",2010-01-01,40,8,0,87,20,0,-5,C Major,3,2a1o6ZejUi8U3wzzOtCOYw,USUM71020778,no
278,"Counting Stars","OneRepublic",122,12A,71,2026-06-24,04:17,91,"kuduro, reggaetón","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306,no
279,"Wannabe","Spice Girls",110,1B,86,2026-06-24,02:53,85,"","Spice",1996-01-01,77,10,0,89,0,10,-6,B Major,4,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008,no
280,"Barbie Girl","Aqua",130,12A,88,2026-06-24,03:17,79,"música alternativa latina","Aquarium (Special Edition)",1997-01-01,81,2,22,96,0,30,-11,C♯/D♭ Minor,4,5ZrDlcxIDZyjOzHdYW1ydr,DKBKA9700403,no
281,"OBSESION","Peppe Citarella,Aaron Sevilla,Yas Cepeda",128,1A,93,2026-06-24,03:37,52,"house latino, afro house, tribal house","OBSESION",2024-11-14,76,2,9,46,0,20,-4,G#/A♭ Minor,4,2Xv7APjqwJ7wY5nr7DGyHH,ITLCJ2100692,no
282,"Bohemian Rhapsody - Remastered 2011","Queen",71,5A,40,2026-06-24,05:54,85,"","A Night At The Opera (2011 Remaster)",1975-11-21,41,27,0,23,0,30,-10,C Minor,4,4u7EnebtmKWzUH433cf5Qv,GBUM71029604,no
283,"Love Me Like You Do","Ellie Goulding",95,4A,60,2026-06-24,04:13,83,"house latino, tribal house, afro house, afro tech","Fifty Shades Freed (Original Motion Picture Soundtrack)",2018-02-09,49,27,0,32,0,10,-7,F Minor,4,0Cy7wt6IlRfBPHXXjmZbcP,GBUM71706324,no
284,"We Are Young (feat. Janelle Monáe)","fun.,Janelle Monáe",184,6B,64,2026-06-24,04:10,85,"","Some Nights",2012-02-14,38,2,0,74,0,0,-6,A#/B♭ Major,4,5rgy6ghBq1eRApCkeUdJXf,USAT21101399,no
285,"Happy - From  Despicable Me 2 ","Pharrell Williams",160,4A,82,2026-06-24,03:53,85,"","G I R L",2014-03-03,65,22,0,96,10,0,-5,F Minor,4,60nZcImufyMA1MKQY3dcCH,USQ4E1300686,no
286,"Pump up the Jam","Aaron Sevilla,SENATVS,Lizwi,Brøder",125,8B,88,2026-06-24,03:13,42,"folk latino, folklore latino, cumbia, merengue","Pump up the Jam",2026-06-19,83,3,2,51,10,30,-4,C Major,4,5fPPJ5AlDwK85SMC0W6eZt,GXBNP2683365,no
287,"A Sky Full of Stars","Coldplay",125,2B,68,2026-06-24,04:27,89,"ska punk, punk","Ghost Stories",2014-05-16,55,1,0,16,0,20,-6,F#/G♭ Major,4,0FDzzruyVECATHXKHFs9eJ,GBAYE1400217,no
288,"Unstoppable","Sia",174,11B,78,2026-06-24,03:37,83,"villancicos","This Is Acting",2016-01-29,47,11,0,26,0,10,-5,A Major,4,2J2Z1SkXYghSajLibnQHOa,USRC11502934,no
289,"Ave María","David Bisbal",132,5B,93,2026-06-24,03:29,67,"","Corazón Latino",2002-10-15,73,14,0,80,0,30,-4,D#/E♭ Major,4,5U4pDBaeq2Jl2dKuWWUSsh,ES6010200293,no
290,"Torero","Chayanne",136,1A,97,2026-06-24,03:38,66,"","Chayanne",1998-00-00,70,7,0,96,0,30,-4,G#/A♭ Minor,4,2es7AohVgF03LwjmQyaVMl,NLB630200016,no
291,"Yo Quiero Bailar","Sonia Y Selena",134,1B,95,2026-06-24,03:33,57,"","Yo Quiero Bailar",2001-01-01,63,16,0,91,0,30,-6,B Major,4,4rFCPjKfgbEeNvs1Ku4nbd,ES6010200113,no
292,"Miénteme","David Bisbal,Elena Gadel",110,10A,91,2026-06-24,03:26,50,"","Generación OT Juntos (Operación Triunfo)",2003-01-01,76,14,0,79,0,0,-6,B Minor,4,4dOHi9ktRjFRAIsMYo4oly,ES6010300050,no
293,"Nada Fue Un Error","Coti,Andrés Calamaro",139,11B,87,2026-06-24,03:27,68,"flamenco, flamenco pop, flamenco urbano","Coti",2003-02-21,61,9,0,83,0,10,-5,A Major,4,1Ev18ptTlc3CBQMmKsIfjY,ES5700200030,no
294,"La Ventanita","Sergio Vargas",133,3B,86,2026-06-24,04:46,62,"","Grandes Exitos",1999-10-26,81,48,1,96,0,0,-6,C♯/D♭ Major,4,5CmVYFZinikaqh9Mf2J1Xl,USBL10000364,no
295,"La Gozadera (feat. Marc Anthony)","Gente De Zona,Marc Anthony",95,8A,99,2026-06-24,03:23,82,"reggaetón, latina","Visualízate",2016-04-22,62,17,0,90,0,10,-2,A Minor,4,0OMRAvrtLWE2TvcXorRiB9,USSD11500071,no
296,"El universo sobre mí","Amaral",186,10B,84,2026-06-24,04:09,61,"trap latino, dembow, reggaetón, trap","Pájaros En La Cabeza",2005-03-11,39,14,0,43,0,10,-4,D Major,4,1jJn6iK6o2Vg7iUKHztRTk,ES5080500001,no
297,"Torero","Chayanne",136,1A,97,2026-06-24,03:37,64,"","Grandes Exitos",2002-00-00,70,7,0,96,0,30,-3,G#/A♭ Minor,4,709CndJJB3GTUhQD0LLFse,NLB630200016,no
298,"Cannabis","Ska-P",121,9B,91,2026-06-24,04:25,60,"trap argentino","El Vals Del Obrero",1996-03-01,56,18,0,95,0,10,-3,G Major,4,0DjSa6czo5ywsf6iCtZW5A,ES5029601034,no
299,"Marta, Sebas, Guille y los demás","Amaral",102,10B,85,2026-06-24,03:43,63,"trap latino, dembow, reggaetón, trap","Pájaros En La Cabeza",2005-03-11,60,27,0,66,0,10,-5,D Major,4,30ddpolNHwXlrS5XO8MiiO,ES5080500025,no
300,"Hay Quel Venir al Sur","Raffaella Carrà",124,9B,92,2026-06-24,03:52,47,"salsa, merengue, bachata, latina, pop latino","Raffaella Carrà: Sensational Hits",2024-06-20,72,3,0,93,10,0,-4,G Major,4,5MwUr7hfHWWqezOCtDsFOn,ITB009900416,no
301,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",91,8B,82,2026-06-24,03:27,74,"flamenco, ","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,69,6,0,66,0,20,-3,C Major,4,7nKBxz47S9SD79N086fuhn,USRC11700058,no
302,"Como Una Ola - Marsal Ventura & Jbill Remix","Marsal Ventura,Jbill",128,12B,88,2026-06-24,02:49,48,"merengue, reggaetón, latina, urbano latino, trap latino","Como Una Ola (Marsal Ventura & Jbill Remix)",2026-05-22,51,17,0,39,10,50,-3,E Major,4,7vZWikYcjHSFW78wJZfd1N,ES5022600463,no
303,"Dile Otra Noche - Afro House Mix","Afro Nation",124,9A,87,2026-06-24,04:15,60,"merengue, salsa, música tropical","Dile Otra Noche (Afro House Mix)",2026-02-24,88,9,1,46,10,0,-9,E Minor,4,1y6m3Qd5qqcq4HDhy97XnR,INAE32600622,no
304,"Salta!!!","Tequila",152,10B,94,2026-06-24,03:09,56,"","Confidencial/New Booklet",1981-01-04,47,2,0,92,10,0,-5,D Major,4,0M2tanh26PWePnaGVV3h3y,ES5109900073,no
305,"Mari Carmen","La Pegatina",160,7A,85,2026-06-24,02:25,18,"","Xapomelön",2011-07-10,71,9,0,82,0,0,-6,D Minor,4,4KOIPoWgg56YkP12E1aFoQ,ES7311100021,no
306,"Levantando las Manos","El Simbolo",97,8B,94,2026-06-24,04:25,62,"ska, ska punk, ska mexicano","Éxitos",2005-00-00,68,9,0,94,0,0,-5,C Major,3,4QNDlhoal2QdrEObKrxn7j,ARA340800038,no
307,"NUEVAYoL","Bad Bunny",138,2B,20,2026-06-24,03:03,95,"pop latino, rock latino","DeBÍ TiRAR MáS FOToS",2025-01-05,14,27,100,12,10,20,-20,F#/G♭ Major,4,5TFD2bmFKGhoCRbX61nXY5,QMFMF2447055,no
308,"El Vals del Obrero","Ska-P",102,7B,84,2026-06-24,04:37,62,"trap argentino","El Vals Del Obrero",1996-03-01,51,4,0,67,0,10,-6,F Major,4,4UjqoyfmarLo3Ub3LE19eC,ES5029601029,no
309,"Stereo Love","Edward Maya,Vika Jigulina",127,11B,78,2026-06-24,04:07,78,"","Stereo Love",2009-07-07,78,3,2,36,0,0,-5,A Major,4,0gBfLS4aqbrr1ZvVv8dqWB,ROCMA0901578,no
310,"Vicio","Reincidentes",104,7A,90,2026-06-24,02:46,0,"rock argentino, pop latino","Nunca Es Tarde... Si la Dicha Es Buena",1994-08-09,58,0,0,68,0,30,-7,D Minor,4,7nwqaGHYZM0g6R4ecp48TU,QMFME1335308,no
311,"Turn The Lights Off - Radio Edit","Kato,Jon",132,12A,98,2026-06-24,02:58,80,"merengue, bachata, salsa","Turn The Lights Off",2010-01-04,61,0,0,31,0,30,-4,C♯/D♭ Minor,4,7apywiCuMzvSZIa0SKeH99,DK4YA0904101,no
312,"Píntame","Elvis Crespo",119,8A,90,2026-06-24,04:19,64,"pop latino","Pintame",1999-00-00,75,50,0,89,0,0,-2,A Minor,4,7gNI9f8NTCU6hLV0pLkTT7,USSD19902684,no
313,"Me Gustas Mucho","Rocío Dúrcal",121,7B,36,2026-06-24,03:04,55,"","Sus 16 Grandes Exitos",1983-03-05,64,42,0,97,0,20,-8,F Major,4,4xOwXgFblfFi56IVkAdmdg,MXF019100120,no
314,"Por Mi Dakiti","Mike Morato",110,9A,68,2026-06-24,03:36,46,"","Por Mi Dakiti",2020-11-26,68,21,0,40,0,10,-7,E Minor,4,7K9IlXYr095TbdTKVlF1uj,QZNWU2060398,no
315,"Bailar (feat. Elvis Crespo) - Radio Edit","Deorro,Elvis Crespo",128,11B,74,2026-06-24,02:17,62,"europop, pop latino","Bailar (feat. Elvis Crespo) [Radio Edit]",2016-04-22,80,5,34,40,10,0,-9,A Major,4,45sGyAtAxD6efaN0bJAFgh,USUS11600173,no
316,"una noche","Alleh,Yorghaki",122,6A,75,2026-06-24,02:57,16,"pop latino, ","LA CIUDAD",2024-12-24,88,2,0,70,10,0,-4,G Minor,4,634CTghcuEDy2FXcTsLG5m,USLD91769019,no
317,"Sin Sentido","Mike Morato",125,7A,91,2026-06-24,04:10,59,"","Sin Sentido",2025-07-25,59,8,0,60,10,10,-5,D Minor,4,0NNFsMlobKIfIQeyqxcybV,ESA092511016,no
318,"Siente el Ritmo","Mike Morato",130,10A,87,2026-06-24,03:33,58,"","Siente el Ritmo",2025-05-30,69,15,0,86,0,20,-4,B Minor,4,4Ic4tTYfcKIC5KxyzfSAbc,ESA092509144,no
319,"Levantando las Manos","El Simbolo",97,8B,94,2026-06-24,04:25,1,"ska, ska punk, ska mexicano","Éxitos",2005-00-00,68,9,0,94,0,0,-5,C Major,3,6aIOfv9A3FZtQjMjyWNiJJ,ARA340800038,no
320,"Taboo","Don Omar",187,8B,89,2026-06-24,04:52,80,"flamenco, flamenco urbano, flamenco pop","Meet The Orphans",2010-01-01,43,4,0,81,0,0,-6,C Major,3,4cyYC67XY3weSVmSLdKLP8,USUM71025734,no
321,"LATINA FOREVA","KAROL G",98,12A,72,2026-06-24,02:39,72,"afro house","LATINA FOREVA",2025-05-22,81,1,0,50,0,0,-4,C♯/D♭ Minor,4,10MpBpx64MNixmUMNj7f6b,USUG12502629,yes
322,"Noche de Travesura","Héctor  El Father ",92,11B,53,2026-06-24,03:27,2,"reggaetón, música popular colombiana, trap latino","Goldstar Music La Familia Reggaeton Hits",2019-10-25,83,29,0,45,20,0,-12,A Major,4,1DdrejuwM8C3ExsXaPAgF8,QMRSZ1902149,no
323,"The Fate of Ophelia","Taylor Swift",124,7B,60,2026-06-24,03:46,95,"","The Life of a Showgirl",2025-10-03,73,27,0,52,0,10,-5,F Major,4,53iuhJlwXhSER5J2IYYv1W,USUG12506436,no
324,"Mambo HP (with KMX)","Mike Morato,kMx",130,10B,86,2026-06-24,03:45,53,"house latino, afro house, techengue, house","Mambo HP (with KMX)",2025-03-11,81,19,0,85,0,20,-6,D Major,4,1bT3inyR5GpCnGYbkjB1fu,QZMHN2331313,no
325,"We Found Love","Rihanna,Calvin Harris",128,3B,77,2026-06-24,03:35,66,"reggae en español, música alternativa latina, ","Talk That Talk (Explicit)",2011-01-01,74,3,0,60,0,10,-4,C♯/D♭ Major,4,1zv3WFUbZ5vPxFq9I2jAU1,USUM71115507,no
326,"blackout 🧊","Emilia,TINI,Nicki Nicole",138,8A,79,2026-06-24,03:02,70,"house latino, flamenco, flamenco pop, flamenco urbano, neoperreo","blackout 🧊",2025-03-25,78,25,0,96,0,10,-2,A Minor,4,2efbgTtEGNpsUZaOfgRTR6,USSD12500117,no
327,"La Mujer del Pelotero","Baby Lores",152,10B,93,2026-06-24,03:48,53,"hip hop latino, música alternativa latina, reggaetón","La Mujer del Pelotero",2011-08-10,69,4,0,97,0,20,-5,D Major,4,5NZGwpynLlG6KmtCzp186J,FR6V80588851,no
328,"La Verdolaga","HUGEL,Totó La Momposina",124,12B,95,2026-06-24,02:30,75,"melbourne bounce, electro house","La Verdolaga",2024-06-28,77,0,52,40,0,10,-6,E Major,4,5PL7k9QH7Kj7B4527dHvon,GBCPZ2423413,no
329,"LA REINA - REMIX","Lola Indigo,Maria Becerra,Villano Antillano",128,10A,75,2026-06-24,03:25,57,"trap latino, reggaetón, rock argentino, rock en español, rock latino","LA REINA (REMIX)",2025-01-16,74,7,0,78,0,20,-5,B Minor,4,1LX9Kq7JFcEINO2a04WI2M,ESUM72500002,no
330,"Atrévete-Te-Te","Calle 13",88,11B,88,2026-06-24,03:59,78,"","Calle 13 (Explicit Version)",2005-00-00,83,10,0,88,10,70,-6,A Major,4,1q8NdCAQ9QUjpYiqzdd3mv,US3H30500209,yes
331,"Poker Face","Lady Gaga",119,12B,81,2026-06-24,03:57,87,"","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409,yes
332,"Mayonesa","Chocolate",97,6B,84,2026-06-24,03:51,69,"","2000 Grandes Exitos",2000-02-20,85,9,0,89,0,0,-5,A#/B♭ Major,4,5Qjx4obghhfhsh6DiUwpNM,UYM120000401,no
333,"2AM","Sebastian Yatra,Bad Gyal",112,12A,75,2026-06-24,03:16,57,"flamenco pop, flamenco, italo dance","2AM",2024-11-22,73,11,0,72,0,40,-5,C♯/D♭ Minor,4,3BvR83k9fPwDZUBwFxBPpu,USUM72413786,no
334,"A Las 12","Ptazeta,Omar Montes",124,3A,76,2026-06-24,03:08,42,"house latino, ","GORGONA",2024-06-20,80,28,0,87,10,10,-3,A#/B♭ Minor,4,3bPQQlM8l31H51zOWfn2NA,USA2P2437293,no
335,"Paparazzi","Lady Gaga",115,4A,69,2026-06-24,03:28,83,"","The Fame",2008-01-01,76,11,0,40,0,0,-4,F Minor,4,02XnQdf7sipaKBBHixz3Zp,USUM70824408,yes
336,"La Bilirrubina","Juan Luis Guerra 4.40",130,3B,91,2026-06-24,04:05,75,"pop latino","Bachata Rosa",1990-01-01,74,84,0,94,0,30,-6,C♯/D♭ Major,4,6M8horg7h52MPTxY0I3dQJ,USJ3V1861775,no
337,"Lloverá y yo veré","La Pegatina",176,11A,78,2026-06-24,02:57,17,"","Eureka!",2013-07-10,47,2,0,73,0,30,-5,F#/G♭ Minor,4,4Tv8mqQc83OsQVXO4I0FTA,ES7311300037,no
338,"EL PANTALON - RUMBAS","Omar Montes,Lola Indigo,Las Chuches",120,4B,88,2026-06-24,03:13,51,"pop","EL PANTALON (RUMBAS)",2024-05-29,74,38,0,78,30,20,-5,G#/A♭ Major,4,5tt2V5NfowSz690MCLBlKO,USSD12400307,no
339,"Pedro","Jaxomy,Agatino Romero,Raffaella Carrà",151,11B,94,2026-06-24,02:24,76,"afro tech, afro house, tribal house, mariachi, ranchera, bolero, salsa, merengue, bachata, latina, pop latino","Pedro",2024-03-29,79,2,0,84,30,30,-6,A Major,4,48lxT5qJF0yYyf2z4wB4xW,DEE862400427,no
