#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
63,"J Balvin: Bzrp Music Sessions, Vol. 62/66","Bizarrap,J Balvin",130,7A,79,2026-06-23,03:10,72,"","J Balvin: Bzrp Music Sessions, Vol. 62/66",2025-12-26,77,31,0,51,0,10,-5,D Minor,4,04YMLAsyIAe1sLb6RO5YcC,UYB282554534,no
64,"Dame Una Noche Más (Party Mashup)","Trave Dj,Adri Naranjo",128,6A,96,2026-06-23,03:35,46,"cuarteto, cumbia, bachata, timba, salsa","Dame Una Noche Más (Party Mashup)",2025-02-11,68,19,0,86,0,20,-5,G Minor,4,7lmwdwJDqcJUDEOuplo5Eg,QZES82547929,no
65,"Hoy lo vi pasar","Tifany Espectacular",130,10A,81,2026-06-23,03:34,38,"","Hoy lo vi pasar",2022-07-19,67,2,0,37,0,10,-7,B Minor,4,6tSKDCbkZFLIldrXoBuLTY,ESA012272099,no
66,"Caigo (Stumblin' In)","CYRIL,Abraham Mateo,Essa Gante",126,10B,77,2026-06-23,03:28,49,"salsa, bachata, trap argentino","Caigo (Stumblin' In)",2024-09-27,75,12,0,34,0,10,-5,D Major,4,0BFVoZViKatuNpRthpxIUP,NLZ542400681,no
67,"Lamento Boliviano - Versión Guaracha","Dr. Stev",128,9B,89,2026-06-23,04:20,41,"","Lamento Boliviano (Versión Guaracha)",2024-01-16,66,16,7,30,0,0,-6,G Major,4,5aBTGMnEc3duUujodGcVK8,QZMZ92067589,no
68,"Tonto por ti","Leire Martinez,Abraham Mateo",175,10B,82,2026-06-23,02:40,58,"bachata","Tonto por ti",2025-09-19,50,7,0,78,0,30,-5,D Major,4,1t1bKKW0yj0k4McaXhuEMs,ES5022501328,no
69,"te vas a inventar","MARLENA",159,1B,92,2026-06-23,02:52,56,"reggaetón, latina","entre cuatro paredes y una verdad",2024-10-25,53,3,0,64,0,30,-4,B Major,4,2mwBnVAy3Fwbia8K5nai7q,ES05I2400004,no
70,"Dardos","Romeo Santos,Prince Royce",127,7B,73,2026-06-23,04:03,88,"tropipop, reggaetón, pop latino","Better Late Than Never",2025-11-28,74,22,0,66,0,10,-5,F Major,4,5SudOD9R1Of6CsJVWZy6CQ,USSD12500703,no
71,"La Morocha","Luck Ra,BM",149,9B,77,2026-06-23,02:14,74,"afrobeat latino, bachata, latina","La Morocha",2023-07-07,75,10,0,97,0,20,-6,G Major,4,7aPsseax6rNFyipHn9A5CR,CLPP22300045,no
72,"Hoy Lo Siento (feat. Tony Dize)","Zion,Lennox,Tony Dize",92,8B,79,2026-06-23,03:46,69,"pop latino, bachata, latina, italo dance","Los Verdaderos",2010-11-02,77,8,0,58,10,0,-6,C Major,4,0zOTCXeKyojEa4kNkUqrQK,USB271010140,no
73,"Sarà perché ti amo","DJ Matrix,Matt Joe,Carolina Marquez",128,12B,87,2026-06-23,02:43,61,"reggaetón, trap latino, urbano latino","Musica da giostra, Vol. 5",2020-02-21,70,39,0,47,0,60,-1,E Major,4,7kLF4qbwgmeryXvrFmkHAb,ITK191800012,no
74,"Ponte la sonrisa","Los ídolos",198,12A,62,2026-06-23,02:02,28,"pop latino","Dia de Sol",2025-11-01,54,9,0,66,0,20,-11,C♯/D♭ Minor,4,6AIG16C0ekJadAPyc64ZZO,GXHUT2583874,no
75,"capaz (merengueton)","Alleh,Yorghaki",127,2A,61,2026-06-23,02:53,19,"pop latino, ","capaz (merengueton)",2024-11-20,87,8,0,79,10,10,-6,D#/E♭ Minor,4,3QbfCvCAOCrSGNcGjtOjYM,USLD91766968,no
76,"Oh Na Na","Camila Cabello,Myke Towers,Tainy",115,8B,86,2026-06-23,03:23,53,"tropipop, pop urbano, reggaetón, urbano latino, neoperreo","Oh Na Na",2021-10-29,74,7,0,69,0,0,-3,C Major,4,03NqHNdG3Ur6kciQWK6e8V,USSM12105951,no
77,"Si Antes Te Hubiera Conocido","KAROL G",128,1B,67,2026-06-23,03:15,85,"afro house","Si Antes Te Hubiera Conocido",2024-06-21,92,45,0,79,0,0,-7,B Major,4,6WatFBLVB0x077xWeoVc2k,USUG12400968,no
78,"Dime Si Te Vas Con Él","Flex,Mr. Saik",96,4A,82,2026-06-23,03:55,61,"flamenco, flamenco pop, flamenco urbano, ","La Evolución Romantic Style",2009-01-01,79,26,0,62,0,20,-5,F Minor,4,4p1EW0DhhmG7YrpTLmJAag,MXF650800113,no
79,"Despeinada","Ozuna,Camilo",166,4B,78,2026-06-23,03:44,77,"","ENOC",2020-09-04,73,19,0,72,0,10,-4,G#/A♭ Major,4,0JAZWvvqttGFm4UMDsPQXC,USXDR2000590,no
80,"Luck Ra: Bzrp Music Sessions, Vol. 61/66","Bizarrap,Luck Ra",160,5A,89,2026-06-23,02:50,70,"afrobeat latino","Luck Ra: Bzrp Music Sessions, Vol. 61/66",2024-12-27,70,6,0,64,10,10,-5,C Minor,4,5AGnkbWCiF9u4ra54N9X1a,UYB282456801,no
81,"GOLFO X DESPECHO","Lérica,Abraham Mateo,CLARA",130,3B,79,2026-06-23,02:49,58,"bachata, reggaetón","GOLFO X DESPECHO",2024-11-01,76,6,0,93,0,20,-4,C♯/D♭ Major,4,3mOP0148Z2lExKw4Jv8oZT,ES5152401082,no
82,"Indeciso","Reik,J Balvin,Lalo Ebratt",95,8B,75,2026-06-23,03:37,74,"italo dance, reggaetón, latina","Indeciso",2019-08-23,74,18,0,90,0,10,-5,C Major,4,59s0s39NFWScuHDbHytI14,USUM71915898,no
83,"la victoria","MARLENA",152,5B,72,2026-06-23,03:16,52,"reggaetón, latina","la victoria",2025-09-25,54,0,0,23,0,10,-5,D#/E♭ Major,4,2nVZyNOFeTqPKHDk5NEAUC,ESUM72500989,no
84,"Hoy","Mindblow,Briana Timari,OZLEMEK,Centyes",117,1B,94,2026-06-23,02:36,44,"reggaetón, urbano latino, flamenco, flamenco pop, flamenco urbano, dembow, timba","Hoy",2025-09-12,72,23,0,65,0,0,-4,B Major,4,2uAqxgydoAylRvK5MRPVLe,DGA052500090,no
85,"Fiebre - Prod. King DouDou","Bad Gyal",98,9B,72,2026-06-23,04:07,8,"italo dance","Slow Wine Mixtape",2016-11-11,42,27,0,24,0,20,-6,G Major,4,5xtxxuIqInrLDSfjA6Co3o,ES71G1637592,no
86,"Una Noche Más","TINI",128,10A,86,2026-06-23,02:39,66,"flamenco, flamenco pop, flamenco urbano","Una Noche Más",2025-10-09,81,4,0,48,10,50,-3,B Minor,4,6hl4VqVrqMgHYibqtmjpI7,USHR12551427,no
87,"Culpita del Amor","Luis Cortés,Marta Santos",100,8B,87,2026-06-23,02:37,61,"reggaetón","Culpita del Amor",2025-10-17,73,18,0,68,0,10,-6,C Major,4,0xH74lqY87kzzCFodO10kZ,USA2P2551676,no
88,"Ay Mi Dios","El Duende Callejero",100,8B,84,2026-06-23,03:46,55,"flamenco, flamenco pop","Ay Mi Dios",2025-10-09,68,8,0,74,0,20,-4,C Major,4,0FLqjcl5tEYzLMQ54SROFI,ES6102529502,no
89,"Héroe Sin Capa - Prod. by Mauro El Código Secreto x Michel Boutic","El Dany MG,Harryson,Mauro El Código Secreto,Michel Boutic",174,1A,79,2026-06-23,02:49,51,"reggaetón, latina","Héroe Sin Capa",2025-09-19,71,12,0,84,10,10,-6,G#/A♭ Minor,4,06SBKoKBQqw9bvAXu5IBBq,QZYFZ2504035,no
90,"El Teléfono","Héctor  El Father ,Wisin & Yandel",90,10B,68,2026-06-23,03:55,83,"reggaetón, música popular colombiana, trap latino, ","The Bad Boy",2006-01-01,81,17,0,49,10,40,-7,D Major,4,614NVFo5csQqRnryl4jXs2,USUM70603927,no
91,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","Bizarrap,Daddy Yankee",114,9A,86,2026-06-23,02:31,82,"reggaetón","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",2025-11-05,81,21,0,54,0,10,-4,E Minor,4,2uPMsTEKx79gJ8rB3AcT0v,UYB282546130,no
92,"Fanatica Sensual","Plan B",82,3B,85,2026-06-23,04:00,77,"flamenco, flamenco pop","Love and Sex",2014-09-09,81,11,0,89,0,0,-4,C♯/D♭ Major,4,1DrDfpOx4P4LMxFhtOmeyD,USB271400503,no
93,"no tiene sentido","Beéle",122,7A,60,2026-06-23,02:38,87,"electro house, edm","BORONDO",2025-05-15,67,9,0,50,0,10,-8,D Minor,4,1HEwEN64NjgTaHmo7LfkX8,QZ7B82500302,no
94,"Bailando por Ahi","Juan Magán",130,9A,73,2026-06-23,03:00,72,"reggaetón, champeta","The King Of Dance",2012-05-14,73,4,0,97,0,20,-5,E Minor,4,6sHBvzRsuGunQTfCk18KXi,ES5021100308,no
95,"si te pillara","Beéle",104,7B,67,2026-06-23,03:04,82,"electro house, edm","BORONDO",2025-05-15,50,59,0,34,0,40,-6,F Major,4,1C7NXX8UJ6pgNx8EkmyZDd,QZ7B82500397,no
96,"mi refe","Beéle,Ovy On The Drums",123,6A,65,2026-06-23,02:39,83,"electro house, edm, afrobeat latino, reggaetón","BORONDO",2025-05-15,64,40,0,44,20,10,-5,G Minor,4,4zhk2RS2EZODmBW6il55Qj,QZ7B82400138,no
97,"NI BORRACHO","Quevedo",153,8A,82,2026-06-23,04:08,79,"metal, nu metal, metal alternativo, rap metal, hard rock","EL BAIFO",2026-04-24,61,22,0,95,0,0,-3,A Minor,4,55ADnsCq80j9s8tzSrXKW1,BK4DA2609602,no
98,"Verano Rosa","KAROL G,Feid",120,8B,70,2026-06-23,03:30,85,"afro house, flamenco pop, flamenco, flamenco urbano","Tropicoqueta",2025-06-20,79,14,0,55,0,10,-4,C Major,4,0nafF9MxcXJBQWv3BTKtdF,USUG12504525,no
99,"Vagabundo","Sebastian Yatra,Manuel Turizo,Beéle",127,10A,84,2026-06-23,03:35,78,"flamenco pop, flamenco, flamenco urbano, electro house, edm","Milagro",2025-05-16,81,4,0,87,0,20,-4,B Minor,4,68nZjz3bLH1MM0cURT1YVH,USUM72305982,no
100,"Ella No Sigue Modas","Juan Magán,Don Omar",128,8B,85,2026-06-23,03:54,53,"reggaetón, champeta, flamenco, flamenco urbano, flamenco pop","The King Of Dance",2012-05-14,69,1,0,90,0,0,-5,C Major,4,0x6UyfOikAQ7GpiGaYaPey,ES5021200282,no
101,"Una en un Millón","Alexis y Fido",95,9A,71,2026-06-23,03:28,68,"timba","Una en un Millón",2015-11-17,86,35,0,56,0,10,-5,E Minor,4,4SrcC7RYF496LSwl0XKdi1,QMEU31516773,no
102,"Virtual Diva - Remix","Hottie",147,5A,86,2026-06-23,02:13,40,"afro house, house latino","Virtual Diva (Remix)",2023-06-26,67,0,32,56,0,10,-7,C Minor,4,1uq1Pgqd8kcAUYdZyliU5D,QZMER2326440,no
103,"Orgullo","El Barrio",108,9B,94,2026-06-23,04:15,62,"timba","La Voz de Mi Silencio",2007-10-15,78,12,0,94,0,20,-5,G Major,4,4xD3uniBa4chEGsQm1cjJL,ES5160700794,no
104,"Chica Latina","Juan Magán,Salgado",128,11B,73,2026-06-23,03:47,48,"reggaetón, champeta, ","The King Of Dance",2012-05-14,67,3,0,88,10,0,-4,A Major,4,2BJWL3ZPJ2Ndlz2tS6RoXo,ES5021100422,no
105,"Pasado Pisado","Comando Tiburon",129,4B,85,2026-06-23,03:21,63,"afro house","Pasado Pisado",2023-03-24,81,10,0,91,0,0,-5,G#/A♭ Major,4,6Gqr73FGnlhtdBNluxJVJI,MX3192305479,no
106,"Mi Reina","Henry Mendez",128,10B,93,2026-06-23,03:11,57,"reggaetón","Dale Mambo",2014-06-03,81,5,0,96,0,20,-5,D Major,4,5pl6anmN4tr564vO53AxBv,ES16I1300008,no
107,"Purpurina","Alberto Gambino",132,11B,64,2026-06-23,03:12,59,"reggaetón","Purpurina",2019-03-15,89,14,0,97,0,20,-6,A Major,4,4FrThBco0jLqXEMULUhSM9,ESA011910632,no
